sampleID,type,hyenaID,mat,gen,hyenaID2,birthdate,age_yrs,sample_date,year,ideal_order
P1,sample,ffl,2,D,D2,28-Jun-03,2.5,21-Jan-06,2006,114
P10,sample,mp,2,M,M2,23-Jul-94,6.67,2-Apr-01,2001,86
P100,sample,nav,3,D,D3,7-Nov-92,6.58,4-Jul-99,1999,NA
P101,sample,ua,4,M,M4,1-Mar-87,6.67,23-Nov-93,1993,235
P102,sample,mrph,1,D,D1,25-Jun-96,4,21-Jul-00,2000,26
P103,sample,hex,4,G,G4,4-Mar-03,7,7-Mar-10,2010,283
P104,sample,ua,4,M,M4,1-Mar-87,8.33,19-Jul-95,1995,243
P105,sample,bail,4,D,D4,4-Jan-92,3.75,15-Oct-95,1995,254
P106,sample,mp,2,M,M2,23-Jul-94,10.42,28-Dec-04,2004,95
P107,sample,mrph,1,D,D1,25-Jun-96,3.92,5-Jun-00,2000,25
P108,sample,ffl,2,D,D2,28-Jun-03,7.92,2-Jun-11,2011,126
P109,sample,ua,4,M,M4,1-Mar-87,7.08,4-Apr-94,1994,237
P11,sample,adon,1,G,G1,20-Mar-01,3.58,26-Oct-04,2004,52
P110,sample,coch,3,M,M3,1-Feb-85,9.58,27-Sep-94,1994,164
P111,sample,hex,4,G,G4,4-Mar-03,9.5,30-Sep-12,2012,293
P112,sample,nav,3,D,D3,7-Nov-92,2.42,13-Apr-95,1995,169
P113,sample,hex,4,G,G4,4-Mar-03,8.08,9-Apr-11,2011,285
P114,sample,adon,1,G,G1,20-Mar-01,3.92,2-Mar-05,2005,54
P115,sample,tilt,2,G,G2,20-Jul-08,7.83,4-Jun-16,2016,154
P116,sample,bail,4,D,D4,4-Jan-92,11.92,11-Dec-03,2003,271
P117,sample,nav,3,D,D3,7-Nov-92,16.17,9-Jan-09,2009,209
P118,sample,hex,4,G,G4,4-Mar-03,3,13-Mar-06,2006,278
P119,sample,bail,4,D,D4,4-Jan-92,2.92,10-Dec-94,1994,252
P12,sample,bail,4,D,D4,4-Jan-92,5.5,9-Jul-97,1997,258
P120,sample,hex,4,G,G4,4-Mar-03,10.83,6-Jan-14,2014,296
P121,sample,mp,2,M,M2,23-Jul-94,11.5,27-Jan-06,2006,99
P122,sample,bail,4,D,D4,4-Jan-92,9.33,16-May-01,2001,265
P123,sample,bail,4,D,D4,4-Jan-92,10.75,3-Nov-02,2002,269
P124,sample,ua,4,M,M4,1-Mar-87,11.92,23-Feb-99,1999,247
P125,sample,adon,1,G,G1,20-Mar-01,6.17,7-Jun-07,2007,64
P126,sample,ua,4,M,M4,1-Mar-87,7.5,13-Sep-94,1994,238
P127,sample,mrph,1,D,D1,25-Jun-96,11.25,30-Sep-07,2007,46
P128,sample,nav,3,D,D3,7-Nov-92,7.08,2-Jan-00,2000,178
P129,sample,tilt,2,G,G2,20-Jul-08,6.58,27-Feb-15,2015,150
P13,sample,adon,1,G,G1,20-Mar-01,5.92,6-Mar-07,2007,63
P130,sample,mp,2,M,M2,23-Jul-94,5.42,10-Jan-00,2000,84
P131,sample,adon,1,G,G1,20-Mar-01,4.67,15-Dec-05,2005,57
P132,sample,mrph,1,D,D1,25-Jun-96,9.83,14-May-06,2006,39
P133,sample,roos,3,G,G3,2-Mar-07,8.83,6-Jan-16,2016,232
P134,sample,nav,3,D,D3,7-Nov-92,22.92,22-Oct-15,2015,216
P135,sample,bail,4,D,D4,4-Jan-92,14.42,19-Jun-06,2006,276
P136,sample,hex,4,G,G4,4-Mar-03,6.67,1-Dec-09,2009,282
P137,sample,bail,4,D,D4,4-Jan-92,8.33,5-May-00,2000,262
P138,sample,nav,3,D,D3,7-Nov-92,13.42,21-Apr-06,2006,206
P139,sample,hex,4,G,G4,4-Mar-03,10.5,1-Oct-13,2013,295
P14,sample,roos,3,G,G3,2-Mar-07,8.17,15-May-15,2015,229
P140,sample,adon,1,G,G1,20-Mar-01,7.42,28-Aug-08,2008,65
P141,sample,bail,4,D,D4,4-Jan-92,10.08,24-Feb-02,2002,267
P142,sample,bail,4,D,D4,4-Jan-92,14.75,16-Oct-06,2006,277
P143,sample,roos,3,G,G3,2-Mar-07,7.17,2-May-14,2014,225
P144,sample,hex,4,G,G4,4-Mar-03,8.17,21-May-11,2011,286
P145,sample,mrph,1,D,D1,25-Jun-96,9.42,7-Dec-05,2005,37
P146,sample,coch,3,M,M3,1-Feb-85,9.58,11-Sep-94,1994,163
P147,sample,ffl,2,D,D2,28-Jun-03,3.5,26-Jan-07,2007,117
P148,sample,roos,3,G,G3,2-Mar-07,4.58,18-Oct-11,2011,221
P149,sample,roos,3,G,G3,2-Mar-07,7.92,24-Feb-15,2015,228
P15,sample,nav,3,D,D3,7-Nov-92,13.17,25-Jan-06,2006,204
P150,sample,mrph,1,D,D1,25-Jun-96,7.25,2-Oct-03,2003,31
P151,sample,hex,4,G,G4,4-Mar-03,5.17,12-May-08,2008,279
P152,sample,tilt,2,G,G2,20-Jul-08,7.75,22-Apr-16,2016,153
P153,sample,bail,4,D,D4,4-Jan-92,8.5,28-Jul-00,2000,263
P154,sample,mrph,1,D,D1,25-Jun-96,7.5,25-Dec-03,2003,33
P155,sample,ffl,2,D,D2,28-Jun-03,10,10-Jul-13,2013,131
P156,sample,bsh,1,M,M1,1-Jan-83,10.92,29-Dec-93,1993,2
P157,sample,nav,3,D,D3,7-Nov-92,13.08,2-Jan-06,2006,202
P158,sample,ffl,2,D,D2,28-Jun-03,8.67,8-Mar-12,2012,128
P159,sample,nav,3,D,D3,7-Nov-92,13.17,20-Jan-06,2006,203
P16,sample,nav,3,D,D3,7-Nov-92,4.67,28-Jul-97,1997,174
P160,sample,adon,1,G,G1,20-Mar-01,7.75,5-Jan-09,2009,68
P161,sample,mrph,1,D,D1,25-Jun-96,10.42,5-Dec-06,2006,44
P162,sample,tilt,2,G,G2,20-Jul-08,4.17,27-Sep-12,2012,140
P163,sample,ua,4,M,M4,1-Mar-87,6.33,31-Jul-93,1993,234
P164,sample,ffl,2,D,D2,28-Jun-03,2.92,5-Jun-06,2006,116
P165,sample,ffl,2,D,D2,28-Jun-03,11.08,19-Aug-14,2014,133
P166,sample,nav,3,D,D3,7-Nov-92,15.17,26-Jan-08,2008,208
P167,sample,mrph,1,D,D1,25-Jun-96,3.83,27-Apr-00,2000,24
P168,sample,mrph,1,D,D1,25-Jun-96,6.17,17-Sep-02,2002,NA
P169,sample,nav,3,D,D3,7-Nov-92,9.25,1-Mar-02,2002,191
P17,sample,mrph,1,D,D1,25-Jun-96,4.5,27-Dec-00,2000,27
P170,sample,bail,4,D,D4,4-Jan-92,5.33,15-May-97,1997,257
P171,sample,nav,3,D,D3,7-Nov-92,16.83,8-Sep-09,2009,211
P172,sample,tilt,2,G,G2,20-Jul-08,4.5,3-Feb-13,2013,141
P173,sample,hex,4,G,G4,4-Mar-03,6.25,21-Jun-09,2009,281
P174,sample,roos,3,G,G3,2-Mar-07,5.92,27-Feb-13,2013,222
P175,sample,nav,3,D,D3,7-Nov-92,16.75,1-Sep-09,2009,210
P176,sample,nav,3,D,D3,7-Nov-92,11.5,13-May-04,2004,198
P177,sample,hex,4,G,G4,4-Mar-03,8.25,22-Jun-11,2011,288
P178,sample,adon,1,G,G1,20-Mar-01,12.25,5-Jul-13,2013,73
P179,sample,roos,3,G,G3,2-Mar-07,8.33,8-Jul-15,2015,230
P18,sample,mp,2,M,M2,23-Jul-94,11.5,21-Feb-06,2006,102
P180,sample,hex,4,G,G4,4-Mar-03,9.25,10-Jun-12,2012,292
P181,sample,coch,3,M,M3,1-Feb-85,9.58,5-Sep-94,1994,162
P182,sample,nav,3,D,D3,7-Nov-92,9.33,30-Mar-02,2002,193
P183,sample,nav,3,D,D3,7-Nov-92,19.83,21-Sep-12,2012,215
P184,sample,mp,2,M,M2,23-Jul-94,17.83,10-Jun-12,2012,113
P185,sample,coch,3,M,M3,1-Feb-85,8.25,2-May-93,1993,155
P186,sample,nav,3,D,D3,7-Nov-92,8.08,12-Dec-00,2000,184
P187,sample,mp,2,M,M2,23-Jul-94,11.92,8-Jul-06,2006,106
P188,sample,hex,4,G,G4,4-Mar-03,8.42,1-Sep-11,2011,289
P189,sample,nav,3,D,D3,7-Nov-92,14.92,16-Oct-07,2007,207
P19,sample,hex,4,G,G4,4-Mar-03,9,25-Mar-12,2012,291
P190,sample,nav,3,D,D3,7-Nov-92,7.75,24-Aug-00,2000,180
P191,sample,nav,3,D,D3,7-Nov-92,7.83,25-Sep-00,2000,181
P192,sample,hex,4,G,G4,4-Mar-03,11.58,20-Oct-14,2014,301
P193,sample,hex,4,G,G4,4-Mar-03,6.17,29-May-09,2009,280
P194,sample,nav,3,D,D3,7-Nov-92,11.92,16-Oct-04,2004,199
P195,sample,adon,1,G,G1,20-Mar-01,2.42,18-Sep-03,2003,48
P196,sample,adon,1,G,G1,20-Mar-01,12.33,26-Jul-13,2013,74
P197,sample,ffl,2,D,D2,28-Jun-03,6.17,2-Sep-09,2009,121
P198,sample,ua,4,M,M4,1-Mar-87,10.58,16-Oct-97,1997,245
P199,sample,mrph,1,D,D1,25-Jun-96,2.75,19-Apr-99,1999,15
P2,sample,nav,3,D,D3,7-Nov-92,4.33,17-Mar-97,1997,172
P20,sample,coch,3,M,M3,1-Feb-85,9.08,23-Mar-94,1994,158
P200,sample,tilt,2,G,G2,20-Jul-08,4.83,6-Jun-13,2013,142
P201,sample,ffl,2,D,D2,28-Jun-03,6.75,16-Apr-10,2010,122
P202,sample,mrph,1,D,D1,25-Jun-96,9.92,18-Jun-06,2006,41
P203,sample,ua,4,M,M4,1-Mar-87,7.75,6-Dec-94,1994,239
P204,sample,bsh,1,M,M1,1-Jan-83,15.92,5-Dec-98,1998,12
P205,sample,hex,4,G,G4,4-Mar-03,11.08,17-Apr-14,2014,299
P206,sample,ua,4,M,M4,1-Mar-87,8.58,27-Oct-95,1995,244
P207,sample,adon,1,G,G1,20-Mar-01,4,30-Mar-05,2005,55
P208,sample,bsh,1,M,M1,1-Jan-83,11,13-Jan-94,1994,3
P209,sample,ffl,2,D,D2,28-Jun-03,3.92,28-May-07,2007,118
P21,sample,mp,2,M,M2,23-Jul-94,8.17,13-Oct-02,2002,91
P210,sample,nav,3,D,D3,7-Nov-92,4.67,13-Jul-97,1997,173
P211,sample,bsh,1,M,M1,1-Jan-83,11.67,3-Sep-94,1994,5
P212,sample,roos,3,G,G3,2-Mar-07,6.42,13-Aug-13,2013,223
P213,sample,mrph,1,D,D1,25-Jun-96,8.25,21-Oct-04,2004,35
P214,sample,adon,1,G,G1,20-Mar-01,3.5,5-Oct-04,2004,51
P215,sample,bail,4,D,D4,4-Jan-92,14.42,13-Jun-06,2006,275
P216,sample,adon,1,G,G1,20-Mar-01,5,11-Apr-06,2006,61
P217,sample,ffl,2,D,D2,28-Jun-03,8.67,12-Mar-12,2012,129
P218,sample,nav,3,D,D3,7-Nov-92,5.67,29-Jul-98,1998,176
P219,sample,mp,2,M,M2,23-Jul-94,6.25,1-Nov-00,2000,85
P22,sample,bail,4,D,D4,4-Jan-92,14,3-Feb-06,2006,274
P220,sample,coch,3,M,M3,1-Feb-85,9.92,29-Jan-95,1995,167
P221,sample,nav,3,D,D3,7-Nov-92,7,28-Nov-99,1999,177
P222,sample,bsh,1,M,M1,1-Jan-83,11.92,16-Dec-94,1994,6
P223,sample,tilt,2,G,G2,20-Jul-08,6.92,14-Jul-15,2015,151
P224,sample,bail,4,D,D4,4-Jan-92,10.25,28-Apr-02,2002,268
P225,sample,mrph,1,D,D1,25-Jun-96,5.42,26-Nov-01,2001,30
P226,sample,mp,2,M,M2,23-Jul-94,15.83,20-Jun-10,2010,111
P227,sample,mrph,1,D,D1,25-Jun-96,14.5,22-Jan-11,2011,47
P228,sample,ffl,2,D,D2,28-Jun-03,6.83,20-May-10,2010,123
P229,sample,bail,4,D,D4,4-Jan-92,4.92,27-Dec-96,1996,256
P23,sample,mrph,1,D,D1,25-Jun-96,8.33,13-Nov-04,2004,36
P230,sample,tilt,2,G,G2,20-Jul-08,7.5,18-Feb-16,2016,152
P231,sample,nav,3,D,D3,7-Nov-92,19.17,11-Jan-12,2012,214
P232,sample,mp,2,M,M2,23-Jul-94,10.58,16-Mar-05,2005,97
P233,sample,mrph,1,D,D1,25-Jun-96,3.08,15-Aug-99,1999,16
P234,sample,mrph,1,D,D1,25-Jun-96,3.25,22-Oct-99,1999,20
P235,sample,mp,2,M,M2,23-Jul-94,13,16-Aug-07,2007,108
P236,sample,nav,3,D,D3,7-Nov-92,4.75,5-Sep-97,1997,175
P237,sample,adon,1,G,G1,20-Mar-01,11.67,2-Dec-12,2012,71
P238,sample,coch,3,M,M3,1-Feb-85,9.83,5-Dec-94,1994,166
P239,sample,mrph,1,D,D1,25-Jun-96,7.58,1-Feb-04,2004,34
P24,sample,ffl,2,D,D2,28-Jun-03,13,3-Jul-16,2016,137
P240,sample,nav,3,D,D3,7-Nov-92,7.92,21-Oct-00,2000,182
P241,sample,hex,4,G,G4,4-Mar-03,8.75,4-Dec-11,2011,290
P242,sample,ua,4,M,M4,1-Mar-87,10.92,16-Feb-98,1998,246
P243,sample,bsh,1,M,M1,1-Jan-83,16.08,26-Feb-99,1999,13
P244,sample,mp,2,M,M2,23-Jul-94,9.5,27-Jan-04,2004,94
P245,sample,nav,3,D,D3,7-Nov-92,2.5,26-May-95,1995,170
P246,sample,nav,3,D,D3,7-Nov-92,8.83,30-Sep-01,2001,189
P247,sample,tilt,2,G,G2,20-Jul-08,6.58,26-Feb-15,2015,149
P248,sample,hex,4,G,G4,4-Mar-03,10,7-Mar-13,2013,294
P249,sample,bail,4,D,D4,4-Jan-92,9.92,24-Dec-01,2001,266
P25,sample,adon,1,G,G1,20-Mar-01,4.75,19-Jan-06,2006,60
P250,sample,coch,3,M,M3,1-Feb-85,9.67,4-Oct-94,1994,165
P251,sample,nav,3,D,D3,7-Nov-92,16.92,15-Oct-09,2009,212
P252,sample,roos,3,G,G3,2-Mar-07,8.75,31-Dec-15,2015,231
P253,sample,mp,2,M,M2,23-Jul-94,14.83,7-Jun-09,2009,109
P254,sample,adon,1,G,G1,20-Mar-01,9.58,8-Nov-10,2010,70
P255,sample,nav,3,D,D3,7-Nov-92,9.25,4-Mar-02,2002,192
P256,sample,nav,3,D,D3,7-Nov-92,12.58,25-Jun-05,2005,201
P257,sample,adon,1,G,G1,20-Mar-01,5.5,19-Oct-06,2006,62
P258,sample,mp,2,M,M2,23-Jul-94,11.5,3-Feb-06,2006,100
P259,sample,mp,2,M,M2,23-Jul-94,15.17,17-Oct-09,2009,110
P26,sample,ua,4,M,M4,1-Mar-87,7.83,29-Jan-95,1995,242
P260,sample,ua,4,M,M4,1-Mar-87,6.92,4-Feb-94,1994,236
P261,sample,roos,3,G,G3,2-Mar-07,7.75,9-Dec-14,2014,227
P262,sample,bsh,1,M,M1,1-Jan-83,15.83,8-Nov-98,1998,11
P263,sample,mp,2,M,M2,23-Jul-94,8.5,5-Feb-03,2003,92
P264,sample,mrph,1,D,D1,25-Jun-96,7.25,23-Oct-03,2003,32
P265,sample,nav,3,D,D3,7-Nov-92,7.5,17-May-00,2000,179
P266,sample,nav,3,D,D3,7-Nov-92,8.5,26-May-01,2001,188
P267,sample,mrph,1,D,D1,25-Jun-96,11.08,27-Jul-07,2007,45
P268,sample,mrph,1,D,D1,25-Jun-96,3.42,20-Dec-99,1999,21
P269,sample,mp,2,M,M2,23-Jul-94,9.25,3-Nov-03,2003,93
P27,sample,hex,4,G,G4,4-Mar-03,11.42,4-Aug-14,2014,300
P270,sample,adon,1,G,G1,20-Mar-01,9.58,24-Oct-10,2010,69
P271,sample,ua,4,M,M4,1-Mar-87,6.33,28-Jul-93,1993,233
P272,sample,adon,1,G,G1,20-Mar-01,7.67,30-Nov-08,2008,67
P273,sample,ua,4,M,M4,1-Mar-87,7.75,14-Dec-94,1994,240
P274,sample,bsh,1,M,M1,1-Jan-83,10.08,9-Feb-93,1993,1
P275,sample,tilt,2,G,G2,20-Jul-08,5.75,18-May-14,2014,145
P276,sample,adon,1,G,G1,20-Mar-01,13,20-Mar-14,2014,76
P277,sample,bail,4,D,D4,4-Jan-92,8.08,20-Feb-00,2000,260
P278,sample,hex,4,G,G4,4-Mar-03,7.83,11-Jan-11,2011,284
P279,sample,bail,4,D,D4,4-Jan-92,12.92,6-Dec-04,2004,272
P28,sample,hex,4,G,G4,4-Mar-03,10.83,23-Jan-14,2014,298
P280,sample,ffl,2,D,D2,28-Jun-03,3.92,29-May-07,2007,119
P281,sample,bsh,1,M,M1,1-Jan-83,11.25,2-Apr-94,1994,4
P282,sample,ua,4,M,M4,1-Mar-87,12.25,10-Jun-99,1999,249
P283,sample,roos,3,G,G3,2-Mar-07,3.83,26-Jan-11,2011,218
P284,sample,adon,1,G,G1,20-Mar-01,3.33,29-Jul-04,2004,50
P285,sample,adon,1,G,G1,20-Mar-01,4.67,24-Nov-05,2005,56
P286,sample,ffl,2,D,D2,28-Jun-03,8.42,29-Nov-11,2011,127
P287,sample,tilt,2,G,G2,20-Jul-08,6.5,28-Jan-15,2015,148
P288,sample,adon,1,G,G1,20-Mar-01,4.67,15-Dec-05,2005,58
P289,sample,coch,3,M,M3,1-Feb-85,8.92,14-Jan-94,1994,156
P29,sample,mp,2,M,M2,23-Jul-94,7,20-Aug-01,2001,88
P290,sample,bsh,1,M,M1,1-Jan-83,12,30-Jan-95,1995,7
P291,sample,adon,1,G,G1,20-Mar-01,13.83,21-Jan-15,2015,78
P292,sample,ffl,2,D,D2,28-Jun-03,10.17,28-Aug-13,2013,132
P293,sample,ua,4,M,M4,1-Mar-87,7.83,26-Jan-95,1995,241
P294,sample,adon,1,G,G1,20-Mar-01,13.25,25-Jun-14,2014,77
P295,sample,mrph,1,D,D1,25-Jun-96,3.5,6-Jan-00,2000,22
P296,sample,bail,4,D,D4,4-Jan-92,8.25,1-May-00,2000,261
P297,sample,tilt,2,G,G2,20-Jul-08,5.58,21-Feb-14,2014,143
P298,sample,bail,4,D,D4,4-Jan-92,2.67,12-Sep-94,1994,251
P299,sample,ua,4,M,M4,1-Mar-87,12.08,23-Apr-99,1999,248
P3,sample,mrph,1,D,D1,25-Jun-96,3.17,15-Sep-99,1999,17
P30,sample,coch,3,M,M3,1-Feb-85,9.5,16-Aug-94,1994,161
P300,sample,mrph,1,D,D1,25-Jun-96,3.25,26-Sep-99,1999,18
P301,sample,roos,3,G,G3,2-Mar-07,7.67,23-Nov-14,2014,226
P302,sample,ffl,2,D,D2,28-Jun-03,5.92,30-May-09,2009,120
P303,sample,bsh,1,M,M1,1-Jan-83,13.25,9-Apr-96,1996,8
P304,sample,mrph,1,D,D1,25-Jun-96,4.83,5-May-01,2001,28
P31,sample,mrph,1,D,D1,25-Jun-96,10.25,16-Oct-06,2006,43
P32,sample,ua,4,M,M4,1-Mar-87,12.83,11-Jan-00,2000,250
P33,sample,nav,3,D,D3,7-Nov-92,13.17,27-Jan-06,2006,205
P34,sample,nav,3,D,D3,7-Nov-92,9.58,19-Jun-02,2002,194
P35,sample,nav,3,D,D3,7-Nov-92,7.92,24-Oct-00,2000,183
P36,sample,mrph,1,D,D1,25-Jun-96,3.25,30-Sep-99,1999,19
P37,sample,mp,2,M,M2,23-Jul-94,11.5,9-Feb-06,2006,101
P38,sample,mp,2,M,M2,23-Jul-94,3.67,22-Apr-98,1998,82
P39,sample,mp,2,M,M2,23-Jul-94,10.42,10-Jan-05,2005,96
P4,sample,adon,1,G,G1,20-Mar-01,14.5,12-Oct-15,2015,80
P40,sample,ffl,2,D,D2,28-Jun-03,12.75,21-Apr-16,2016,135
P41,sample,nav,3,D,D3,7-Nov-92,8.33,12-Mar-01,2001,187
P42,sample,hex,4,G,G4,4-Mar-03,8.17,24-May-11,2011,287
P43,sample,adon,1,G,G1,20-Mar-01,12.17,20-May-13,2013,72
P44,sample,nav,3,D,D3,7-Nov-92,9.25,23-Feb-02,2002,190
P45,sample,nav,3,D,D3,7-Nov-92,4.08,21-Dec-96,1996,171
P46,sample,mrph,1,D,D1,25-Jun-96,4.92,26-May-01,2001,29
P47,sample,mrph,1,D,D1,25-Jun-96,3.5,10-Jan-00,2000,23
P48,sample,mrph,1,D,D1,25-Jun-96,2.67,9-Mar-99,1999,14
P49,sample,ffl,2,D,D2,28-Jun-03,12.83,24-May-16,2016,136
P5,sample,nav,3,D,D3,7-Nov-92,11.17,15-Jan-04,2004,197
P50,sample,mp,2,M,M2,23-Jul-94,3.25,2-Nov-97,1997,81
P51,sample,adon,1,G,G1,20-Mar-01,2.92,21-Feb-04,2004,49
P52,sample,tilt,2,G,G2,20-Jul-08,2.83,8-Jun-11,2011,138
P53,sample,bail,4,D,D4,4-Jan-92,9.25,16-Apr-01,2001,264
P54,sample,bail,4,D,D4,4-Jan-92,11.33,25-May-03,2003,270
P55,sample,bail,4,D,D4,4-Jan-92,14,24-Jan-06,2006,273
P56,sample,bsh,1,M,M1,1-Jan-83,13.42,19-Jun-96,1996,9
P57,sample,nav,3,D,D3,7-Nov-92,10.75,2-Sep-03,2003,195
P58,sample,coch,3,M,M3,1-Feb-85,9,14-Feb-94,1994,157
P59,sample,mp,2,M,M2,23-Jul-94,11.67,10-Apr-06,2006,104
P6,sample,nav,3,D,D3,7-Nov-92,11.08,25-Dec-03,2003,196
P60,sample,ffl,2,D,D2,28-Jun-03,7.67,27-Mar-11,2011,125
P61,sample,adon,1,G,G1,20-Mar-01,7.42,18-Sep-08,2008,66
P62,sample,adon,1,G,G1,20-Mar-01,3.83,5-Feb-05,2005,53
P63,sample,tilt,2,G,G2,20-Jul-08,3.42,23-Dec-11,2011,139
P64,sample,coch,3,M,M3,1-Feb-85,9.42,8-Jul-94,1994,160
P65,sample,mp,2,M,M2,23-Jul-94,6.83,11-Jun-01,2001,87
P66,sample,mrph,1,D,D1,25-Jun-96,9.92,5-Jun-06,2006,40
P67,sample,bsh,1,M,M1,1-Jan-83,14.25,26-Apr-97,1997,10
P68,sample,ffl,2,D,D2,28-Jun-03,2.75,2-Apr-06,2006,115
P69,sample,ffl,2,D,D2,28-Jun-03,11.33,13-Nov-14,2014,134
P7,sample,tilt,2,G,G2,20-Jul-08,6.42,16-Jan-15,2015,147
P70,sample,adon,1,G,G1,20-Mar-01,4.75,26-Dec-05,2005,59
P71,sample,mp,2,M,M2,23-Jul-94,11.42,2-Jan-06,2006,98
P72,sample,coch,3,M,M3,1-Feb-85,9.17,30-Apr-94,1994,159
P73,sample,bail,4,D,D4,4-Jan-92,3,3-Feb-95,1995,253
P74,sample,adon,1,G,G1,20-Mar-01,12.83,24-Jan-14,2014,75
P75,sample,nav,3,D,D3,7-Nov-92,8.25,21-Feb-01,2001,186
P76,sample,roos,3,G,G3,2-Mar-07,3.83,11-Jan-11,2011,217
P77,sample,ffl,2,D,D2,28-Jun-03,9.75,26-Apr-13,2013,130
P78,sample,nav,3,D,D3,7-Nov-92,18.83,1-Oct-11,2011,213
P79,sample,ffl,2,D,D2,28-Jun-03,7.25,21-Oct-10,2010,124
P8,sample,roos,3,G,G3,2-Mar-07,4.25,22-Jun-11,2011,219
P80,sample,mp,2,M,M2,23-Jul-94,11.58,7-Mar-06,2006,103
P81,sample,mrph,1,D,D1,25-Jun-96,10,2-Jul-06,2006,42
P82,sample,adon,1,G,G1,20-Mar-01,14.25,10-Jul-15,2015,79
P83,sample,mp,2,M,M2,23-Jul-94,12.08,18-Sep-06,2006,107
P84,sample,roos,3,G,G3,2-Mar-07,7.08,26-Apr-14,2014,224
P85,sample,mp,2,M,M2,23-Jul-94,17.08,15-Sep-11,2011,112
P86,sample,bail,4,D,D4,4-Jan-92,4.08,1-Mar-96,1996,255
P87,sample,tilt,2,G,G2,20-Jul-08,6.33,13-Dec-14,2014,146
P88,sample,mp,2,M,M2,23-Jul-94,7.25,19-Nov-01,2001,90
P89,sample,mp,2,M,M2,23-Jul-94,4.92,18-Jul-99,1999,83
P9,sample,nav,3,D,D3,7-Nov-92,8.08,31-Dec-00,2000,185
P90,sample,nav,3,D,D3,7-Nov-92,12.5,11-May-05,2005,200
P91,sample,mp,2,M,M2,23-Jul-94,7.25,9-Nov-01,2001,89
P92,sample,coch,3,M,M3,1-Feb-85,10,13-Feb-95,1995,168
P93,sample,roos,3,G,G3,2-Mar-07,4.33,9-Jul-11,2011,220
P94,sample,bail,4,D,D4,4-Jan-92,8,31-Jan-00,2000,259
P95,sample,mrph,1,D,D1,25-Jun-96,9.75,26-Mar-06,2006,38
P96,sample,hex,4,G,G4,4-Mar-03,10.83,8-Jan-14,2014,297
P98,sample,tilt,2,G,G2,20-Jul-08,5.67,10-Apr-14,2014,144
P99,sample,mp,2,M,M2,23-Jul-94,11.75,14-May-06,2006,105
PBE,control,NA,NA,NA,NANA,NA,NA,NA,NA,NA
PBE2,control,NA,NA,NA,NANA,NA,NA,NA,NA,NA
PBE2D,control,NA,NA,NA,NANA,NA,NA,NA,NA,NA
PBE3,control,NA,NA,NA,NANA,NA,NA,NA,NA,NA
PBE3D,control,NA,NA,NA,NANA,NA,NA,NA,NA,NA
PBED,control,NA,NA,NA,NANA,NA,NA,NA,NA,NA
PBS,control,NA,NA,NA,NANA,NA,NA,NA,NA,NA
PBS2,control,NA,NA,NA,NANA,NA,NA,NA,NA,NA
PBS2D,control,NA,NA,NA,NANA,NA,NA,NA,NA,NA
PBS3,control,NA,NA,NA,NANA,NA,NA,NA,NA,NA
PBS3D,control,NA,NA,NA,NANA,NA,NA,NA,NA,NA
PBS4,control,NA,NA,NA,NANA,NA,NA,NA,NA,NA
PBS4D,control,NA,NA,NA,NANA,NA,NA,NA,NA,NA
PBSD,control,NA,NA,NA,NANA,NA,NA,NA,NA,NA